,n_lags,quantiles,n_changepoints,n_forecasts,learning_rate,ar_layers,ar_reg,changepoints_range,trend_reg,seasonality_mode,rmse
49,52,"[0.025, 0.975]",20,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",1.0,0.05,0.0,additive,1.0049472332000733
50,52,"[0.025, 0.975]",20,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",1.0,0.05,0.05,multiplicative,1.0120991826057435
51,52,"[0.025, 0.975]",20,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",1.0,0.05,0.05,additive,0.9008798599243164
52,52,"[0.025, 0.975]",20,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",1.0,0.05,0.1,multiplicative,1.8814439654350281
53,52,"[0.025, 0.975]",20,12,0.01,"[16, 16, 16, 16, 16, 16, 16, 16]",1.0,0.05,0.1,additive,1.5137413024902344
54,52,"[0.025, 0.975]",20,12,0.001,"[32, 32, 32]",0.0,0.05,0.0,multiplicative,1.241339337825775
55,52,"[0.025, 0.975]",20,12,0.001,"[32, 32, 32]",0.0,0.05,0.0,additive,0.987476134300232
56,52,"[0.025, 0.975]",20,12,0.001,"[32, 32, 32]",0.0,0.05,0.05,multiplicative,1.1698673486709594
57,52,"[0.025, 0.975]",20,12,0.001,"[32, 32, 32]",0.0,0.05,0.05,additive,1.0708852529525756
58,52,"[0.025, 0.975]",20,12,0.001,"[32, 32, 32]",0.0,0.05,0.1,multiplicative,1.1479890823364258
59,52,"[0.025, 0.975]",20,12,0.001,"[32, 32, 32]",0.0,0.05,0.1,additive,1.1733683943748474
60,52,"[0.025, 0.975]",20,12,0.001,"[32, 32, 32]",0.5,0.05,0.0,multiplicative,1.5205710053443908
61,52,"[0.025, 0.975]",20,12,0.001,"[32, 32, 32]",0.5,0.05,0.0,additive,1.1221752882003784
62,52,"[0.025, 0.975]",20,12,0.001,"[32, 32, 32]",0.5,0.05,0.05,multiplicative,1.3210493803024292
63,52,"[0.025, 0.975]",20,12,0.001,"[32, 32, 32]",0.5,0.05,0.05,additive,1.0429600596427917
64,52,"[0.025, 0.975]",20,12,0.001,"[32, 32, 32]",0.5,0.05,0.1,multiplicative,1.071394693851471
